                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0974,                 2.1236,                 1.2796,                 0.9195,                0.51656,                0.85355,                0.61155,                0.87955,                 2.6439,                  1.121,             0.00054104,             0.00054104,             0.00054104
                      2,                0.93042,                  1.242,                 1.1029,                0.97766,                0.84284,                0.94585,                0.68864,                0.93904,                  1.757,                 1.1846,              0.0010931,              0.0010931,              0.0010931
                      3,                0.92563,                 1.1078,                 1.1119,                0.91797,                0.79694,                0.92875,                0.63768,                  1.209,                 1.7851,                 1.3292,              0.0016415,              0.0016415,              0.0016415
                      4,                0.89265,                 1.0044,                 1.0838,                0.54749,                0.87773,                0.85884,                  0.627,                0.83261,                 2.4712,                 1.0763,              0.0016505,              0.0016505,              0.0016505
                      5,                0.82564,                 0.8286,                 1.0505,                0.93177,                  0.933,                0.97448,                0.72755,                0.78533,                0.88306,                 1.0475,              0.0016505,              0.0016505,              0.0016505
                      6,                0.81854,                0.72146,                 1.0235,                0.99836,                0.98477,                  0.995,                0.76283,                0.77079,                0.83096,                 1.0271,               0.001645,               0.001645,               0.001645
                      7,                0.78229,                0.65323,                 1.0256,                0.98953,                0.89445,                0.95824,                0.74869,                0.80377,                 1.0522,                 1.0426,              0.0016395,              0.0016395,              0.0016395
                      8,                0.75349,                0.60505,                0.99925,                0.99713,                      1,                  0.995,                0.81566,                0.62545,                0.54242,                0.94641,               0.001634,               0.001634,               0.001634
                      9,                0.78263,                0.57873,                 1.0205,                0.98192,                0.99059,                0.99496,                0.80138,                0.68378,                0.53776,                0.97002,              0.0016285,              0.0016285,              0.0016285
                     10,                0.73228,                0.54353,                0.99838,                0.99144,                      1,                  0.995,                0.81463,                 0.6313,                0.52152,                0.94698,               0.001623,               0.001623,               0.001623
                     11,                0.72386,                 0.5091,                0.99327,                 0.9983,                      1,                  0.995,                 0.8119,                0.65418,                0.42701,                0.95708,              0.0016175,              0.0016175,              0.0016175
                     12,                0.70928,                0.50516,                0.97828,                0.99815,                      1,                  0.995,                0.82938,                0.58813,                0.38435,                0.93846,               0.001612,               0.001612,               0.001612
                     13,                0.74399,                0.48018,                 1.0097,                0.91596,                0.84039,                0.93195,                0.69436,                 0.7652,                0.81055,                 1.0449,              0.0016065,              0.0016065,              0.0016065
                     14,                0.71036,                0.46445,                0.98806,                0.99581,                0.99225,                0.99485,                 0.8243,                0.66544,                0.41231,                0.95702,               0.001601,               0.001601,               0.001601
                     15,                0.72119,                 0.4699,                0.98984,                0.99682,                0.99931,                  0.995,                0.85422,                0.57151,                0.36923,                0.92286,              0.0015955,              0.0015955,              0.0015955
                     16,                0.68011,                0.43534,                0.97455,                0.99806,                      1,                  0.995,                0.83851,                0.58157,                0.34163,                0.92475,                0.00159,                0.00159,                0.00159
